name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
The Whole Truth Vegan Fig Apricot & Orange Energy Bar No Sugar,6000,20,6,4800,40,FALSE,40
Saffola Veggie Twist Masala Oats,19500,12,2,17100,500,FALSE,500
ITC Master Chef Classic Aloo Tikki,8000,10,3,7200,320,FALSE,320
Smith & Jones Pink Pasta Sauce Mix,4000,0,4,4000,46,FALSE,46
Wingreens Farms Chipotle Dip,20000,25,1,15000,180,FALSE,180
Kellogg's Real Almond & Honey Corn Flakes,55000,5,3,52000,1000,FALSE,1
Kellogg's Crunchy Granola Chocolate & Almonds,33000,10,3,29400,450,FALSE,450
Cornitos Cornitos Taco Shells - 6 Inches,16000,20,4,12800,180,FALSE,180
Ching's Secret Singapore Curry Instant Noodles,1500,0,3,1500,60,FALSE,60
Mother's Recipe Pickle - Mango,12500,9,6,11300,400,FALSE,500
Godrej Yummiez Chilli Chicken Sausages ,16000,10,3,14400,250,FALSE,250
Pedigree Dentastix  Dog Treat Oral Care for Adult Medium Breed ,17500,20,6,14000,180,FALSE,180
Maggi Hot & Sweet - Tomato Chilli Sauce,17000,10,1,15300,1000,FALSE,1
Ching's Secret Asian Hot Instant Soup,1500,0,3,1500,15,FALSE,15
Kellogg’s Chocos Protein And Fibre Of 1 Roti,49900,11,6,44400,1200,FALSE,1
Mother's Recipe Pickle - Mango,14900,26,4,10900,500,FALSE,500
Chings Secret Manchurian Instant Noodle,6000,0,6,6000,240,FALSE,240
Kellogg's Original Corn Flakes,31000,6,6,29000,875,FALSE,875
Ching's Singapore Curry Instant Noodles,6000,0,4,6000,240,FALSE,240
Kellogg's Almonds And Cranberries Granola,33000,6,6,31000,460,FALSE,460
Nestle Ceregrow Multigrain Cereal with Milk and Fruits - 3 to 6 years,29200,0,6,29200,300,FALSE,300
MTR 3 Minute Breakfast - Magic Masala Upma,2500,0,6,2500,60,FALSE,60
Smith & Jones Masala Noodles,6800,10,5,6100,360,FALSE,360
"Knorr Classic Tomato Soup With 100% Real Vegetabls, No Added Preservatives",5500,0,6,5500,53,FALSE,53
Godrej Yummiez Chicken Punjabi Tikka ,29500,9,6,26600,360,FALSE,360
Kellogg's Corn Flakes,42500,9,1,38300,1000,FALSE,1
Kelloggs Chocos,17000,5,4,16000,385,FALSE,385
Pedigree Puppy Dry Dog Food Food Chicken & Milk,29000,20,6,23200,1200,FALSE,1200
Ching's Secret Lemon Coriander Instant Soup,1500,0,5,1500,15,FALSE,15
Nestle Cerelac Baby Cereal With Milk Wheat-Rice Mixed Fruit,26100,0,6,26100,300,FALSE,300
Kelloggs Chocos - Moons & Stars,66000,40,4,39600,1200,FALSE,1
ITC Master Chef Chicken Galouti Kebab,17000,4,2,16200,210,FALSE,210
Yogabar 100% Pure Peanut Butter Creamy & Yummy Unsweetened,22900,10,6,20600,400,FALSE,400
Kitchens Of India Palak Paneer,13000,30,6,9100,285,FALSE,285
Kelloggs Chocos Fills Double Chocolat,9900,11,6,8800,175,FALSE,175
Soulfull Ragi Bites Choco Fills,16900,5,4,16000,250,FALSE,250
Figaro Sliced Black Olive ,17900,0,6,17900,450,FALSE,450
Veeba Barbeque Sauce,14900,8,6,13700,330,FALSE,330
The Whole Truth Vegan Mocha Almond Fudge Energy Bar No Sugar,6000,20,6,4800,40,FALSE,40
"The Whole Truth - Nuts, Fruits & Seeds Muesli",32500,20,6,26000,350,FALSE,350
Pantai Green Curry Paste,15000,14,5,12800,114,FALSE,114
Kelloggs Special K,21000,8,5,19200,435,FALSE,435
Moi Soi Sichuan Chilli Oil- For Stir Fry Marinade Spread & Dip,28000,50,5,14000,175,FALSE,175
Mother's Recipe Madras Appalam,5000,10,6,4500,100,FALSE,100
Top Ramen Masala Oat Masala,8000,10,6,7200,280,FALSE,280
Saffola Everyday Peppy Tomato Masala Oats,19500,12,6,17100,500,FALSE,500
"Ching's Secret Instant Noodles, Hot Garlic",6000,0,4,6000,240,FALSE,240
Kitchens Of India Chicken Chettinad,20000,30,1,14000,285,FALSE,285
Nestle Cerelac Wheat - Stage 1,19000,0,6,19000,300,FALSE,300
Sumeru Aloo Paratha,11900,5,6,11300,400,FALSE,400
ITC Master Chef Veggie Pizza Pocket,17000,4,4,16200,340,FALSE,340
Wingreens Farms Tangy Cheese Pita Chips & Mexican Salsa Dip,6000,15,1,5100,70,FALSE,70
Ching's Secret Manchow Soup,5500,0,3,5500,55,FALSE,55
Veeba Carrot & Cucumber Sandwich Spread,8500,10,6,7600,250,FALSE,250
Kellogg's Real Almond & Honey Corn Flakes,37000,12,3,32400,650,FALSE,650
Kitchens Of India Mughlai Paneer,16000,30,4,11200,285,FALSE,285
Ching's Secret Just Soak - Veg Hakka Noodles,3000,0,5,3000,150,FALSE,150
Ching's Secret Chowmein Hakka Noodles Masala,6000,10,2,5400,100,FALSE,100
The Whole Truth Dark Chocolate Peanut Butter - Crunchy,23500,20,5,18800,325,FALSE,325
Mother's Recipe Bhel Puri Chutney,5500,9,4,5000,200,FALSE,200
Kelloggs Chocos Moon & Stars,33000,10,6,29400,680,FALSE,680
Mother's Recipe Lime Pickle ,12000,5,1,11400,400,FALSE,400
Kitchens of India Dal Makhani,11000,30,2,7700,285,FALSE,285
Pantai Light Soy Sauce,27500,14,5,23400,200,FALSE,200
Ching's Secret Sweet Corn Soup,5500,0,6,5500,55,FALSE,55
"Top Ramen Noodles, Atta",8000,0,1,8000,280,FALSE,280
Cantina Tortilla Dip Sauce Sour Creamy Tex Mex,22500,15,5,19100,190,FALSE,190
Dabur Hommade - Rajasthan Ki Garlic Chutne,6500,6,6,6100,200,FALSE,200
MTR Seviyan Vermicelli ,4200,0,2,4200,400,FALSE,400
Pantai Oyster Sauce,27500,14,4,23400,200,FALSE,200
Go Cheese Spread - Four Pepper (Soft & Creamy),9900,5,6,9400,200,FALSE,200
MTR Ready To Eat Paneer Butter Masala,13500,9,2,12200,300,FALSE,300
Nestle Lactogen Stage 2 Follow-up Formula Powder,34000,0,2,34000,400,FALSE,400
Kellogg's Crunchy Bites Chocos,19000,10,6,17100,375,FALSE,375
Veeba Hot Sweet Tomato Chilli Sauce,10400,20,3,8300,500,FALSE,500
Borges Durum Wheat Pasta Superior Quality,25000,40,6,14900,500,FALSE,500
Funfoods Peanut Butter Crunchy,16900,7,1,15600,400,FALSE,400
Pantai Red Curry Paste,6000,0,4,6000,50,FALSE,50
ITC Master Chef Chicken Seekh Kabab,32500,0,6,32500,500,FALSE,500
Del Monte Pizza & Pasta Sauce Spout Pack,9900,0,3,9900,400,FALSE,400
Pantai Sriracha Red Chilli Sauce,22500,15,6,19100,200,FALSE,200
Hershey's Cocoa Spread,29500,0,3,29500,350,FALSE,350
Maggi Ghee Tadka Upma Express Pouch,2500,0,6,2500,65,FALSE,65
Ching's Secret Manchurian Noodles,9100,0,5,9100,360,FALSE,360
Kellogg's All Bran Wheat Flakes,22000,6,5,20500,425,FALSE,425
Yummiez Chicken Breakfast Sausages,15000,0,3,15000,250,FALSE,250
Pantai Red Curry Paste,15000,14,3,12800,114,FALSE,114
Bagrrys Muesli Crunchy Fruit & Nut With Cranberries,33000,10,6,29700,400,FALSE,400
Quaker Oats Pouch,27600,10,6,24800,1500,FALSE,1
Prasuma Momos -  Cheesy Spicy Veg,29500,0,6,29500,24,FALSE,24
Veeba Sriracha Chilli Garlic Sauce,14900,8,5,13700,320,FALSE,320
Ching's Secret Just Soak - Veg Hakka Noodles,11500,0,6,11500,600,FALSE,600
Moi Soi Kung Pao Sauce - For Stir Fry Marinade Spread & Dip,28000,50,5,14000,175,FALSE,175
Figaro Plain Green Olive ,17900,0,6,17900,450,FALSE,450
Mother's Recipe Gujrati Gorkeri Pickle,14000,10,3,12600,500,FALSE,500
Kellogg's Muesli 20% Nuts Delight,32000,0,6,32000,500,FALSE,500
Borges Farfalle Durum Wheat Pasta ,25000,0,5,25000,500,FALSE,500
Kellogg's Chocos,29900,10,4,26900,700,FALSE,700
Nestle Nan Pro 4 Follow Up Formula Powder For Older Infants ,62000,0,1,62000,400,FALSE,400
Veeba Truly Tomato Ketchup,9900,20,6,7900,500,FALSE,500
Ching's Secret Green Chilli Sauce,8500,4,1,8100,680,FALSE,680
MTR Roasted Vermicelli ,5500,0,1,5500,400,FALSE,400
Mother's Recipe Punjabi Teekha Mang Pickle,12000,10,4,10800,400,FALSE,400
Ching's Secret Hot Garlic Instant Noodles,11400,0,6,11400,480,FALSE,480
Kellogg's Real Honey Corn Flakes,29000,7,5,26700,630,FALSE,630
ITC Master Chef Lebanese Falafel Kebab,13000,4,4,12400,230,FALSE,230
Kelloggs Chocos Fills Double Chocolaty,18500,10,5,16500,250,FALSE,250
Organic India Apple Cider Vinegar,59500,9,2,53600,500,FALSE,500
Masala Oats Masala & Coriander ,19500,9,5,17600,500,FALSE,500
Ching's Secret  Noodles - Pad Thai Lemongras,20000,0,5,20000,130,FALSE,130
Bagrrys Fruit and Nut Muesli with Cranberries,49900,0,5,49900,750,FALSE,750
Kitchens Of India Yellow Dal Tadka,11000,30,6,7700,285,FALSE,285
Soulfull Vanilla Fills - Ragi Bites,16900,5,6,16000,250,FALSE,250
Pantai Teriyaki Sauce with Garlic,32500,15,6,27600,200,FALSE,200
Whiskas Adult Pocket Tuna Cat Food,41000,0,1,41000,1200,FALSE,1
Kitchens Of India Chicken Darbari ,20000,30,4,14000,285,FALSE,285
Soulfull Millet Muesli Fruit & Nut Almonds & Real Fruits,29900,10,6,26900,400,FALSE,400
Smith & Jones Red Pasta Sauce Mix,4000,0,6,4000,46,FALSE,46
Kellogg's Muesli Nuts Delight,42500,9,3,38300,750,FALSE,750
Kitchens of India Dal Bukhara Gravy Mix,11000,30,6,7700,285,FALSE,285
The Whole Truth Peanut Butter - Sweetened & Crunchy,21500,20,6,17200,325,FALSE,325
Remia Mayonnaise,23000,0,6,23000,241,FALSE,241
Ching's Secret Green Chilli Sauce,10500,0,6,10500,425,FALSE,425
Bagrrys Fruit N Fibre Muesli - Strawberry,59500,0,1,59500,1000,FALSE,1
Ching's Secret Tomato Oats Instant Soup,1500,0,3,1500,20,FALSE,20
Kellogg's Special K Original Corn Flakes,14000,5,1,13300,290,FALSE,290
Moi Soi  Black Bean Sauce - Dip Spread Stir Fry & Marinade,28000,50,5,14000,175,FALSE,175
Tong Garden Wasabi Green Peas,17500,4,6,16700,150,FALSE,150
Ching's Secret Red Chilli Sauce,10500,0,4,10500,440,FALSE,440
Ching's Instant Hot and Sour Soup,5500,0,5,5500,55,FALSE,55
Ching's Secret Noodles - Pad Thai Original,20000,0,6,20000,130,FALSE,130
Aashirvaad Instant Meals - Khatta Meetha Pohaa With Millets,5500,30,5,3800,80,FALSE,80
Del Monte Black Sliced Olives,25000,0,1,25000,450,FALSE,450
Kitchens Of India Murgh Methi,22000,30,5,15400,285,FALSE,285
Nestle Cerelac 5 Grains & Fruits Cereal,28800,0,6,28800,300,FALSE,300
